Date,Close,Open,High,Low,count,zhangdie
2020年4月21日,137.34,146.02,150.67,134.76,101.05M,-7.99%
2020年4月20日,149.27,146.54,153.11,142.44,73.73M,-1.00%
2020年4月17日,150.78,154.46,154.99,149.53,65.64M,1.17%
2020年4月16日,149.04,143.39,151.89,141.34,103.29M,2.10%
2020年4月15日,145.97,148.4,150.63,142,117.89M,2.81%
2020年4月14日,141.98,139.79,148.38,138.49,152.88M,9.06%
2020年4月13日,130.19,118.03,130.4,116.11,112.38M,13.60%
2020年4月9日,114.6,112.42,115.04,111.42,68.25M,4.40%
2020年4月8日,109.77,110.84,111.44,106.67,63.28M,0.62%
2020年4月7日,109.09,109,113,106.47,89.60M,5.66%
2020年4月6日,103.25,102.24,104.2,99.59,74.51M,7.55%
2020年4月3日,96,101.9,103.1,93.68,112.81M,5.62%
2020年4月2日,90.89,96.21,98.85,89.28,99.29M,-5.63%
2020年4月1日,96.31,100.8,102.79,95.02,66.77M,-8.10%
2020年3月31日,104.8,100.25,108.59,99.4,88.86M,4.35%
2020年3月30日,100.43,102.05,103.33,98.25,59.99M,-2.37%
2020年3月27日,102.87,101,105.16,98.81,71.89M,-2.61%
2020年3月26日,105.63,109.48,112,102.45,87.11M,-2.06%
2020年3月25日,107.85,109.05,111.4,102.22,106.11M,6.78%
2020年3月24日,101,95.46,102.74,94.8,114.48M,16.28%
2020年3月23日,86.86,86.72,88.4,82.1,82.27M,1.58%
2020年3月20日,85.51,87.64,95.4,85.16,141.43M,-0.02%
2020年3月19日,85.53,74.94,90.4,71.69,150.98M,18.40%
2020年3月18日,72.24,77.8,80.97,70.1,118.93M,-16.04%
2020年3月17日,86.04,88,94.37,79.2,119.97M,-3.34%
2020年3月16日,89.01,93.9,98.97,88.43,102.45M,-18.58%
2020年3月13日,109.32,119,121.51,100.4,113.20M,-2.49%
2020年3月12日,112.11,116.18,118.9,109.25,94.55M,-11.62%
2020年3月11日,126.85,128.04,130.72,122.6,67.07M,-1.72%
2020年3月10日,129.07,131.89,133.6,121.6,77.97M,6.14%
2020年3月9日,121.6,121.08,132.6,121,85.37M,-13.57%
2020年3月6日,140.7,138,141.4,136.85,63.31M,-2.91%
2020年3月5日,144.91,144.75,149.15,143.61,54.26M,-3.33%
2020年3月4日,149.9,152.79,153.3,144.95,75.24M,0.54%
2020年3月3日,149.1,161,161.4,143.22,128.92M,0.26%
2020年3月2日,148.72,142.25,148.74,137.33,100.97M,11.32%
