Date,close,open,high,low,count,zhangdie
2020年8月14日,114.91,114.83,115,113.04,165.56M,-0.09%
2020年8月13日,115.01,114.43,116.04,113.93,210.08M,1.77%
2020年8月12日,113.01,110.5,113.28,110.3,165.94M,3.32%
2020年8月11日,109.38,111.97,112.48,109.11,187.90M,-2.97%
2020年8月10日,112.73,112.6,113.78,110,212.40M,1.45%
2020年8月7日,111.11,113.21,113.68,110.29,198.05M,-2.45%
2020年8月6日,113.9,110.4,114.41,109.8,202.43M,3.49%
2020年8月5日,110.06,109.38,110.39,108.9,121.99M,0.36%
2020年8月4日,109.67,109.13,110.79,108.39,172.79M,0.67%
2020年8月3日,108.94,108.2,111.64,107.89,308.15M,2.52%
2020年7月31日,106.26,102.88,106.42,100.82,374.30M,10.47%
2020年7月30日,96.19,94.19,96.3,93.77,158.13M,1.21%
2020年7月29日,95.04,93.75,95.23,93.71,90.33M,1.92%
2020年7月28日,93.25,94.37,94.55,93.25,103.63M,-1.64%
2020年7月27日,94.81,93.71,94.9,93.48,121.21M,2.37%
2020年7月24日,92.61,90.99,92.97,89.14,185.44M,-0.25%
2020年7月23日,92.85,97,97.08,92.01,197.00M,-4.55%
2020年7月22日,97.27,96.69,97.97,96.6,89.00M,0.28%
2020年7月21日,97,99.17,99.25,96.74,103.65M,-1.38%
2020年7月20日,98.36,96.42,98.5,96.06,90.32M,2.11%
2020年7月17日,96.33,96.99,97.15,95.84,92.19M,-0.20%
2020年7月16日,96.52,96.56,97.4,95.9,110.58M,-1.23%
2020年7月15日,97.72,98.99,99.25,96.49,153.20M,0.69%
2020年7月14日,97.06,94.84,97.25,93.88,170.99M,1.65%
2020年7月13日,95.48,97.26,99.96,95.26,191.65M,-0.46%
2020年7月10日,95.92,95.33,95.98,94.71,90.26M,0.25%
2020年7月9日,95.68,96.26,96.32,94.67,125.64M,0.36%
2020年7月8日,95.34,94.18,95.38,94.09,117.09M,2.33%
2020年7月7日,93.17,93.85,94.65,93.06,112.42M,-0.31%
2020年7月6日,93.46,92.5,93.94,92.47,118.66M,2.68%
2020年7月2日,91.03,91.96,92.62,90.91,114.04M,0.00%
2020年7月1日,91.03,91.28,91.84,90.98,110.74M,-0.19%
2020年6月30日,91.2,90.02,91.5,90,140.22M,0.83%
2020年6月29日,90.44,88.31,90.54,87.82,130.65M,2.30%
2020年6月26日,88.41,91.1,91.33,88.25,205.26M,-3.07%
2020年6月25日,91.21,90.18,91.25,89.39,137.52M,1.33%
2020年6月24日,90.01,91.25,92.2,89.63,192.62M,-1.77%
2020年6月23日,91.63,91,93.1,90.57,212.16M,2.13%
2020年6月22日,89.72,87.83,89.86,87.79,135.44M,2.62%
2020年6月19日,87.43,88.66,89.14,86.29,264.48M,-0.57%
2020年6月18日,87.93,87.85,88.36,87.31,96.82M,0.04%
2020年6月17日,87.9,88.79,88.85,87.77,114.41M,-0.14%
2020年6月16日,88.02,87.86,88.3,86.18,165.43M,2.65%
2020年6月15日,85.75,83.31,86.42,83.14,138.81M,1.24%
2020年6月12日,84.7,86.18,86.95,83.56,200.15M,0.86%
2020年6月11日,83.97,87.33,87.76,83.87,201.66M,-4.80%
2020年6月10日,88.21,86.97,88.69,86.52,166.65M,2.57%
2020年6月9日,86,83.04,86.4,83,147.71M,3.16%
2020年6月8日,83.36,82.56,83.4,81.83,95.66M,0.59%
2020年6月5日,82.88,80.84,82.94,80.81,137.25M,2.85%
2020年6月4日,80.58,81.1,81.4,80.19,87.56M,-0.86%
2020年6月3日,81.28,81.17,81.55,80.57,104.49M,0.55%
2020年6月2日,80.83,80.19,80.86,79.73,87.64M,0.46%
2020年6月1日,80.46,79.44,80.59,79.3,81.02M,1.23%
2020年5月29日,79.49,79.81,80.29,79.12,153.60M,-0.10%
2020年5月28日,79.56,79.19,80.86,78.91,133.80M,0.04%
2020年5月27日,79.53,79.04,79.68,78.27,112.95M,0.44%
2020年5月26日,79.18,80.88,81.06,79.13,125.52M,-0.68%
2020年5月22日,79.72,78.94,79.81,78.84,81.80M,0.64%
2020年5月21日,79.21,79.67,80.22,78.97,102.69M,-0.75%
2020年5月20日,79.81,79.17,79.88,79.05,111.51M,1.94%
2020年5月19日,78.29,78.76,79.63,78.25,101.73M,-0.58%
2020年5月18日,78.74,78.29,79.13,77.58,135.37M,2.36%
2020年5月15日,76.93,75.09,76.97,75.05,166.35M,-0.59%
2020年5月14日,77.39,76.13,77.45,75.38,158.93M,0.61%
2020年5月13日,76.91,78.04,78.99,75.8,200.62M,-1.21%
2020年5月12日,77.85,79.46,79.92,77.73,162.30M,-1.14%
2020年5月11日,78.75,77.03,79.26,76.81,145.95M,1.57%
2020年5月8日,77.53,76.41,77.59,76.07,134.05M,2.10%
2020年5月7日,75.93,75.81,76.29,75.49,115.22M,1.03%
2020年5月6日,75.16,75.11,75.81,74.72,142.33M,1.03%
2020年5月5日,74.39,73.76,75.25,73.61,147.75M,1.50%
2020年5月4日,73.29,72.29,73.42,71.58,133.57M,1.41%
2020年5月1日,72.27,71.56,74.75,71.46,240.62M,-1.61%
2020年4月30日,73.45,72.49,73.63,72.09,183.06M,2.11%
2020年4月29日,71.93,71.18,72.42,70.97,137.28M,3.28%
2020年4月28日,69.64,71.27,71.46,69.55,112.01M,-1.62%
2020年4月27日,70.79,70.45,71.14,69.99,117.09M,0.07%
2020年4月24日,70.74,69.3,70.75,69.25,126.51M,2.89%
2020年4月23日,68.76,68.97,70.44,68.72,124.81M,-0.39%
2020年4月22日,69.03,68.4,69.47,68.05,117.06M,2.88%
2020年4月21日,67.09,69.07,69.31,66.36,180.99M,-3.09%
2020年4月20日,69.23,69.49,70.42,69.21,130.02M,-2.08%
2020年4月17日,70.7,71.17,71.74,69.21,215.25M,-1.36%
2020年4月16日,71.67,71.85,72.05,70.59,157.12M,0.79%
2020年4月15日,71.11,70.6,71.58,70.16,131.16M,-0.91%
2020年4月14日,71.76,70,72.06,69.51,195.00M,5.05%
2020年4月13日,68.31,67.08,68.43,66.46,131.02M,1.96%
2020年4月9日,67,67.18,67.52,66.18,162.12M,0.72%
2020年4月8日,66.52,65.68,66.84,65.31,168.90M,2.56%
2020年4月7日,64.86,67.7,67.93,64.75,202.89M,-1.16%
2020年4月6日,65.62,62.72,65.78,62.35,201.82M,8.72%
2020年4月3日,60.35,60.7,61.42,59.74,129.88M,-1.44%
2020年4月2日,61.23,60.08,61.29,59.22,165.93M,1.67%
2020年4月1日,60.23,61.63,62.18,59.78,176.22M,-5.26%
2020年3月31日,63.57,63.9,65.62,63,197.00M,-0.20%
2020年3月30日,63.7,62.69,63.88,62.35,167.98M,2.85%
2020年3月27日,61.94,63.19,63.97,61.76,204.22M,-4.14%
2020年3月26日,64.61,61.63,64.67,61.59,252.56M,5.26%
2020年3月25日,61.38,62.69,64.56,61.08,303.60M,-0.55%
2020年3月24日,61.72,59.09,61.92,58.58,287.53M,10.03%
2020年3月23日,56.09,57.02,57.12,53.15,336.75M,-2.12%
2020年3月20日,57.31,61.79,62.96,57,401.69M,-6.35%
2020年3月19日,61.19,61.85,63.21,60.65,271.86M,-0.77%
2020年3月18日,61.67,59.94,62.5,59.28,300.23M,-2.45%
2020年3月17日,63.22,61.88,64.4,59.6,324.06M,4.40%
2020年3月16日,60.55,60.49,64.77,60,322.42M,-12.86%
2020年3月13日,69.49,66.22,69.98,63.24,370.73M,11.98%
2020年3月12日,62.06,63.99,67.5,62,418.47M,-9.88%
2020年3月11日,68.86,69.35,70.31,67.96,256.38M,-3.47%
2020年3月10日,71.33,69.29,71.61,67.34,285.29M,7.20%
2020年3月9日,66.54,65.94,69.52,65.75,286.74M,-7.91%
2020年3月6日,72.26,70.5,72.71,70.31,226.18M,-1.33%
2020年3月5日,73.23,73.88,74.89,72.85,187.57M,-3.24%
2020年3月4日,75.68,74.11,75.85,73.28,219.18M,4.64%
2020年3月3日,72.33,75.92,76,71.45,319.48M,-3.18%
2020年3月2日,74.7,70.57,75.36,69.43,341.40M,9.31%
